max_temp,min_temp,igmin,min_grass,pressure_cbl,wind_speed,max_10minute_wind,dir_10minute_wind,max_gust,sun,dos,soil,potential_evap,evap,smd_wd,smd_md,smd_pd,Latitude,Longitude,year,month,day,temp_range,smd_combined,heatwave,high_wind,Cluster,extreme_rain,solar_cluster,extreme_gust,date,temperature_forecast
-0.27,-0.36,1.0,-1.18,997.9,-0.31,-0.26,0.89,-0.4,4.2,-0.02,9.35,0.7,-0.86,0.0,-0.2,-0.2,53.43,-6.24,1979.0,10.0,28.0,7.5,-0.13,1.0,1.0,2.0,0.0,1.0,0.0,1979-10-28,-0.2083488400521449
-0.48,-0.48,0.0,-0.29,998.8,-0.45,-0.88,0.42,-0.91,0.4,-0.02,8.62,0.6,-0.92,0.0,-0.1,-0.3,53.43,-6.24,1979.0,10.0,29.0,7.0,-0.13,1.0,1.0,0.0,0.0,0.0,0.0,1979-10-29,-0.2083488400521449
0.48,0.6,0.0,0.62,990.8,0.92,0.96,0.07,1.05,0.6,-0.02,10.55,0.8,-0.79,0.0,-3.45,-3.45,53.43,-6.24,1979.0,10.0,30.0,6.9,-2.3,1.0,1.0,0.0,1.0,0.0,1.0,1979-10-30,-0.2083488400521449
-0.15,0.22,0.0,0.21,990.0,0.74,0.96,0.54,1.15,6.7,-0.02,9.88,1.0,-0.65,0.5,0.5,-3.45,53.43,-6.24,1979.0,10.0,31.0,5.5,-0.82,1.0,1.0,0.0,0.0,2.0,1.0,1979-10-31,-0.2083488400521449
-0.4,-0.14,0.0,-0.04,1001.6,0.51,0.2,0.42,0.12,7.0,-0.02,8.18,1.2,-0.44,1.6,1.6,-2.3,53.43,-6.24,1979.0,11.0,1.0,5.9,0.3,1.0,1.0,0.0,0.0,2.0,1.0,1979-11-01,-0.2083488400521449
0.01,-0.34,0.0,-0.39,1007.2,-0.22,0.04,-0.51,0.22,0.2,-0.02,8.3,0.6,-0.92,0.0,-3.45,-3.45,53.43,-6.24,1979.0,11.0,2.0,8.8,-2.3,1.0,1.0,0.0,1.0,0.0,1.0,1979-11-02,-0.2083488400521449
0.87,1.01,0.0,1.04,1000.3,2.08,1.57,0.19,1.56,1.8,-0.02,11.82,1.3,-0.38,1.3,1.3,-3.45,53.43,-6.24,1979.0,11.0,3.0,7.0,-0.28,1.0,1.0,0.0,0.0,0.0,1.0,1979-11-03,-0.2083488400521449
-0.54,-0.0,0.0,0.17,997.1,1.54,2.19,0.42,2.08,4.2,-0.02,9.7,0.8,-0.72,0.0,-0.1,-3.45,53.43,-6.24,1979.0,11.0,4.0,4.6,-1.18,1.0,1.0,0.0,0.0,1.0,1.0,1979-11-04,-0.2083488400521449
-0.64,-0.25,0.0,-0.29,992.8,1.14,0.96,0.31,0.64,0.6,-0.02,7.85,0.7,-0.79,0.7,0.7,-3.45,53.43,-6.24,1979.0,11.0,5.0,5.2,-0.68,1.0,1.0,0.0,0.0,0.0,1.0,1979-11-05,-0.2083488400521449
-0.66,0.02,0.0,0.56,991.1,0.25,0.96,0.77,1.15,0.0,-0.02,9.07,0.6,-0.92,0.5,0.5,-3.45,53.43,-6.24,1979.0,11.0,6.0,3.9,-0.82,1.0,1.0,0.0,0.0,0.0,1.0,1979-11-06,-0.2083488400521449
